年级	书名	学科	册别	学段	出版社	版本	def_page_index	内容起始页	ISBN	价格	页数
三年级	音乐三年级上册（简谱）（2014秋）	音乐	上册	小学	江苏少年儿童出版社	08版	2	8	0	0	70
四年级	科学四年级上册	科学	上册	小学	江苏教育出版社	08版	2	10	0	0	94
四年级	科学四年级下册	科学	下册	小学	江苏教育出版社	08版	2	10	0	0	94
四年级	劳动与技术四年级上册	劳动与技术	上册	小学	江苏科学技术出版社	08版	2	8	0	0	42
四年级	劳动与技术四年级下册	劳动与技术	下册	小学	江苏科学技术出版社	08版	2	8	0	0	46
四年级	牛津小学英语四年级上册	英语	上册	小学	译林出版社	08版	2	6	0	0	108
四年级	语文四年级上册（教学参考用书）	语文	上册	小学	江苏教育出版社	08版	2	6	978-7-5343-5726-8	0	326
四年级	语文四年级上册	语文	上册	小学	江苏教育出版社	08版	2	8	0	0	156
四年级	数学四年级上册	数学	上册	小学	江苏教育出版社	08版	2	10	0	0	126
四年级	数学四年级下册	数学	下册	小学	江苏教育出版社	08版	2	8	0	0	128
四年级	语文四年级下册	语文	下册	小学	江苏教育出版社	08版	2	8	978-7-5343-6174-6	0	154
四年级	英语4B	英语	下册	小学	译林出版社	08版	2	6	978-7-80657-323-5	5.89	102
四年级	英语四年级上册（2013版）	英语	上册	小学	译林出版社	08版	2	6	0	0	76
四年级	英语四年级下册（2014版）	英语	下册	小学	译林出版社	08版	2	6	978-7-5447-4357-0	0	78
四年级	品德与社会四年级上册（2014）	品德与社会	上册	小学	江苏教育出版社	08版	2	6	978-7-5031-3285-8	0	82
四年级	语文四年级下册(2014版)	语文	下册	小学	江苏教育出版社	08版	2	8	0	0	154
四年级	英语四年级上册（2014秋）	英语	上册	小学	译林出版社	08版	2	6	0	0	76
四年级	数学四年级上册（2014秋）	数学	上册	小学	江苏教育出版社	08版	2	6	0	0	122
四年级	语文四年级上册（2014秋）	语文	上册	小学	江苏教育出版社	08版	2	8	978-7-5343-5726-8	0	156
四年级	小学信息技术4年级（2014秋）	信息技术	全一册	小学	江苏科学技术出版社	08版	2	10	978-7-5537-1042-6	0	178
四年级	美术四年级上册（2014秋）	美术	上册	小学	少年儿童出版社	08版	2	4	978-7-5346-8253-7	0	54
四年级	音乐四年级上册（简谱）（2014秋）	音乐	上册	小学	江苏少年儿童出版社	08版	2	8	0	0	70
四年级	音乐四年级上册（线谱）（2014秋）	音乐	上册	小学	江苏少年儿童出版社	08版	2	8	0	0	70
五年级	科学五年级上册	科学	上册	小学	江苏教育出版社	08版	2	10	0	0	94
五年级	科学五年级下册	科学	下册	小学	江苏教育出版社	08版	2	10	0	0	98
五年级	劳动与技术五年级上册	劳动与技术	上册	小学	江苏科学技术出版社	08版	2	8	0	0	50
五年级	劳动与技术五年级下册	劳动与技术	下册	小学	江苏科学技术出版社	08版	2	8	0	0	52
五年级	牛津小学英语五年级上册	英语	上册	小学	译林出版社	08版	2	6	0	0	102
五年级	语文五年级上册（教学参考用书）	语文	上册	小学	江苏教育出版社	08版	2	6	978-7-5343-6696-3	0	322
五年级	语文五年级上册	语文	上册	小学	江苏教育出版社	08版	2	8	0	0	170
五年级	数学五年级下册	数学	下册	小学	江苏教育出版社	08版	2	8	0	0	132
五年级	数学五年级上册	数学	上册	小学	江苏教育出版社	08版	2	8	0	0	140
五年级	语文五年级下册	语文	下册	小学	江苏教育出版社	08版	2	8	978-7-5343-7171-4	0	168
五年级	英语5B	英语	下册	小学	译林出版社	08版	2	6	978-7-80657-453-9	5.89	102
五年级	品德与社会五年级上册（2014）	品德与社会	上册	小学	江苏教育出版社	08版	2	6	978-7-5031-3452-4	0	122
五年级	英语五年级上册	英语	上册	小学	译林出版社	08版	1	6	978-7-5447-2931-4	0	110
五年级	英语五年级上册（2014秋）	英语	上册	小学	译林出版社	08版	2	6	0	0	110
五年级	数学五年级上册（2014秋）	数学	上册	小学	江苏教育出版社	08版	2	6	0	0	138
五年级	语文五年级上册（2014秋）	语文	上册	小学	江苏教育出版社	08版	2	8	978-7-5343-6696-3	0	170
五年级	小学信息技术5年级（2014秋）	信息技术	全一册	小学	江苏科学技术出版社	08版	2	10	0	0	134
五年级	美术五年级上册（2014秋)	美术	上册	小学	江苏少年儿童出版社	08版	2	4	978-7-5346-8255-1	0	54
五年级	音乐五年级上册（简谱）（2014秋）	音乐	上册	小学	江苏少年儿童出版社	08版	2	8	0	0	70
五年级	音乐五年级上册（线谱）（2014秋）	音乐	上册	小学	江苏少年儿童出版社	08版	2	8	0	0	70
六年级	科学六年级下册	科学	下册	小学	江苏教育出版社	08版	2	10	0	0	94
六年级	劳动与技术六年级上册	劳动与技术	上册	小学	江苏科学技术出版社	08版	2	8	0	0	54
六年级	劳动与技术六年级下册	劳动与技术	下册	小学	江苏科学技术出版社	08版	2	8	0	0	58
六年级	科学六年级上册	科学	上册	小学	江苏教育出版社	08版	2	10	0	0	94
六年级	牛津小学英语六年级上册	英语	上册	小学	译林出版社	08版	2	6	0	0	90
六年级	语文六年级上册（教学参考用书）	语文	上册	小学	江苏教育出版社	08版	2	6	978-7-5343-7519-4	0	238
六年级	语文六年级上册	语文	上册	小学	江苏教育出版社	08版	2	8	0	0	160
六年级	数学六年级上册	数学	上册	小学	江苏教育出版社	08版	2	8	0	0	132
六年级	数学六年级下册	数学	下册	小学	江苏教育出版社	08版	2	8	0	0	136
六年级	语文六年级下册	语文	下册	小学	江苏教育出版社	08版	2	8	0	0	150
六年级	英语6B	英语	下册	小学	译林出版社	08版	2	6	978-7-80657-694-0	5.93	90
六年级	品德与生活六年级上册（2014）	品德与生活	上册	小学	江苏教育出版社	08版	2	6	0	0	122
六年级	英语六年级上册	英语	上册	小学	译林出版社	08版	1	6	978-7-5447-2453-1	0	110
六年级	英语六年级上册（2014秋）	英语	上册	小学	译林出版社	08版	2	6	0	0	108
六年级	英语六年级上册（2014秋）	英语	上册	小学	译林出版社	08版	2	6	0	0	108
六年级	数学六年级上册（2014秋）	数学	上册	小学	江苏教育出版社	08版	2	6	0	0	128
六年级	语文六年级上册（2014秋）	语文	上册	小学	江苏教育出版社	08版	2	8	978-7-5343-7519-4	0	160
六年级	小学信息技术6年级（2014秋）	信息技术	全一册	小学	江苏科学技术出版社	08版	2	10	0	0	66
六年级	美术六年级上册（2014秋）	美术	上册	小学	江苏少年儿童出版社	08版	2	4	978-7-5346-8257-5	0	54
六年级	音乐六年级上册（简谱）（2014秋）	音乐	上册	小学	江苏少年儿童出版社	08版	2	8	0	0	70
六年级	音乐六年级上册（线谱）（2014秋）	音乐	上册	小学	江苏少年儿童出版社	08版	2	8	0	0	70
小学通用	信息技术小学下册	信息技术	下册	小学	江苏科学技术出版社	08版	2	10	0	0	168
小学通用	信息技术小学上册	信息技术	上册	小学	江苏科学技术出版社	08版	2	10	0	0	164
小学通用	信息技术小学（选修）	信息技术	全一册	小学	江苏科学技术出版社	08版	2	10	0	0	100
七年级	语文七年级上册	语文	上册	初中	江苏教育出版社	08版	2	20	978-7-5343-4133-5	5.22	256
七年级	语文七年级下册	语文	下册	初中	江苏教育出版社	08版	2	20	978-7-5343-4394 - 0	6.09	308
七年级	生物七年级下册	生物	下册	初中	江苏科学技术出版社	08版	2	8	0	0	134
七年级	生物七年级上册	生物	上册	初中	江苏教育出版社	08版	2	8	0	0	138
七年级	生物七年级下册	生物	下册	初中	江苏教育出版社	08版	2	12	0	0	128
七年级	生物学七年级上册（2012版）	生物	上册	初中	江苏教育出版社	08版	2	8	0	0	138
七年级	生物学七年级上册	生物	上册	初中	江苏科学技术出版社	08版	2	8	0	0	140
七年级	数学七年级上册	数学	上册	初中	江苏科学技术出版社	08版	2	6	0	0	190
七年级	英语七年级上册	英语	上册	初中	译林出版社	08版	2	4	0	0	148
七年级	英语七年级下册	英语	下册	初中	译林出版社	08版	2	4	978-7-5447-3327-4	8.28	146
七年级	美术七年级下册	美术	下册	初中	江苏少年儿童出版社	08版	2	6	978-7-5346-6761-9	0	54
七年级	美术七年级上册	美术	上册	初中	江苏少年儿童出版社	08版	2	6	978-7-5346-6454-0	0	54
七年级	音乐七年级上册（简谱）	音乐	上册	初中	江苏少年儿童出版社	08版	2	8	0	0	70
七年级	音乐七年级上册（线谱）	音乐	上册	初中	江苏少年儿童出版社	08版	2	8	0	0	70
七年级	音乐七年级下册（简谱）	音乐	下册	初中	江苏少年儿童出版社	08版	2	8	978-7-5346-6758-9	7.61	70
七年级	音乐七年级下册（线谱）	音乐	下册	初中	江苏少年儿童出版社	08版	2	8	978-7-5346-6759-6	7.61	70
七年级	数学七年级下册	数学	下册	初中	江苏科学技术出版社	08版	2	8	978-7-5537-0317-6	10.23	182
