年级	书名	学科	册别	学段	出版社	版本	def_page_index	内容起始页	ISBN	价格	页数
选修2	通用技术选修2	通用技术	全一册	高中	江苏教育出版社	08版	2	10	0	0	164
选修1-1	数学选修1-1	数学	全一册	高中	江苏教育出版社	08版	2	10	978-7-5343-6628-4	6.67	122
选修1-1	高中数学选修1-1（2014秋）	数学	全一册	高中	江苏教育出版社	08版	2	10	978-7-5343-6628-4	0	122
选修1-2	数学选修1-2	数学	全一册	高中	江苏教育出版社	08版	2	10	978-7-5343-7542-2	6.87	126
选修1-2	高中数学选修1-2（2014秋）	数学	全一册	高中	江苏教育出版社	08版	2	10	978-7-5343-7542-2	0	126
选修2-1	数学选修2-1	数学	全一册	高中	江苏教育出版社	08版	2	10	978-7-5343-6629-1	7.47	138
选修2-1	高中数学选修2-1（2014秋）	数学	全一册	高中	江苏教育出版社	08版	2	10	978-7-5343-6629-1	0	138
选修2-2	数学选修2-2	数学	全一册	高中	江苏教育出版社	08版	2	10	978-7-5343-6790-8	7.87	146
选修2-2	高中数学选修2-2（2014秋）	数学	全一册	高中	江苏教育出版社	08版	2	10	978-7-5343-6790-8	0	146
选修2-3	数学选修2-3	数学	全一册	高中	江苏教育出版社	08版	2	10	978-7-5343-7543-9	7.47	138
选修2-3	高中数学选修2-3（2014秋）	数学	全一册	高中	江苏教育出版社	08版	2	10	978-7-5343-7543-9	0	138
托班	幼儿阅读托班上册1	幼儿园综合活动课程	上册	幼儿	少年儿童出版社	08版	2	4	0	0	38
托班	幼儿阅读托班上册2	幼儿园综合活动课程	上册	幼儿	少年儿童出版社	08版	2	4	0	0	38
托班	幼儿阅读托班上册3	幼儿园综合活动课程	上册	幼儿	少年儿童出版社	08版	2	4	0	0	30
托班	操作材料托班上册1	幼儿园综合活动课程	上册	幼儿	少年儿童出版社	08版	2	4	0	0	38
托班	操作材料托班上册2	幼儿园综合活动课程	上册	幼儿	少年儿童出版社	08版	2	4	0	0	58
小班	幼儿画册小班上学期1	幼儿园综合活动课程	上册	幼儿	江苏少年儿童出版社	08版	2	4	978-7-5346-5199-1	7.4	42
小班	幼儿画册小班上学期2	幼儿园综合活动课程	上册	幼儿	江苏少年儿童出版社	08版	2	4	978-7-5346-5199-1	7.4	42
小班	幼儿画册小班上学期3	幼儿园综合活动课程	上册	幼儿	江苏少年儿童出版社	08版	2	4	978-7-5346-5199-1	8.7	46
小班	幼儿画册小班下学期1	幼儿园综合活动课程	下册	幼儿	江苏少年儿童出版社	08版	2	4	978-7-5346-5463-3	7.4	42
小班	幼儿画册小班下学期2	幼儿园综合活动课程	下册	幼儿	江苏少年儿童出版社	08版	2	4	978-7-5346-5463-3	7.5	42
小班	幼儿画册小班下学期3	幼儿园综合活动课程	下册	幼儿	江苏少年儿童出版社	08版	2	4	978-7-5346-5463-3	7.5	42
小班	小班上册幼儿读物1	幼儿园综合活动课程	上册	幼儿	少年儿童出版社	08版	2	2	0	0	22
小班	小班上册幼儿读物2	幼儿园综合活动课程	上册	幼儿	少年儿童出版社	08版	2	2	0	0	22
小班	小班上册幼儿读物3	幼儿园综合活动课程	上册	幼儿	少年儿童出版社	08版	2	2	0	0	22
小班	小班上册幼儿读物4	幼儿园综合活动课程	上册	幼儿	少年儿童出版社	08版	2	2	0	0	22
小班	小班上册幼儿读物5	幼儿园综合活动课程	上册	幼儿	少年儿童出版社	08版	2	2	0	0	22
小班	小班上册幼儿操作材料1	幼儿园综合活动课程	上册	幼儿	少年儿童出版社	08版	2	4	0	0	22
小班	小班上册幼儿操作材料3	幼儿园综合活动课程	上册	幼儿	少年儿童出版社	08版	2	4	0	0	22
小班	小班上册幼儿操作材料4	幼儿园综合活动课程	上册	幼儿	少年儿童出版社	08版	2	4	0	0	22
小班	小班上册幼儿操作材料5	幼儿园综合活动课程	上册	幼儿	少年儿童出版社	08版	2	4	0	0	22
小班	小班上册幼儿操作材料2	幼儿园综合活动课程	上册	幼儿	少年儿童出版社	08版	2	4	0	0	22
小班	幼儿小班下册读物7	幼儿园综合活动课程	下册	幼儿	少年儿童出版社	08版	2	2	0	0	22
小班	幼儿小班下册操作8（2014）	幼儿园综合活动课程	下册	幼儿	少年儿童出版社	08版	2	4	0	0	22
小班	幼儿小班下册操作9（2014）	幼儿园综合活动课程	下册	幼儿	少年儿童出版社	08版	2	4	0	0	22
小班	幼儿小班下册读物8（2014）	幼儿园综合活动课程	下册	幼儿	少年儿童出版社	08版	2	2	0	0	22
小班	幼儿小班下册读物9（2014）	幼儿园综合活动课程	下册	幼儿	少年儿童出版社	08版	2	2	0	0	22
中班	幼儿画册中班下学期1	幼儿园综合活动课程	下册	幼儿	江苏少年儿童出版社	08版	2	4	978-7-5346-5464-0	8	54
中班	幼儿画册中班下学期2	幼儿园综合活动课程	下册	幼儿	江苏少年儿童出版社	08版	2	4	978-7-5346-5464-0	8	54
中班	幼儿画册中班下学期3	幼儿园综合活动课程	下册	幼儿	江苏少年儿童出版社	08版	2	4	978-7-5346-5464-0	8	54
中班	幼儿画册中班上学期2	幼儿园综合活动课程	上册	幼儿	江苏少年儿童出版社	08版	2	1	978-7-5346-5200-4	8	54
中班	幼儿画册中班上学期3	幼儿园综合活动课程	上册	幼儿	江苏少年儿童出版社	08版	2	4	978-7-5346-5200-4	8	54
中班	幼儿画册中班上学期1	幼儿园综合活动课程	上册	幼儿	江苏少年儿童出版社	08版	2	4	978-7-5346-5200-4	8	54
中班	中班上册幼儿读物1	幼儿园综合活动课程	上册	幼儿	少年儿童出版社	08版	2	2	0	0	22
中班	中班上册幼儿读物2	幼儿园综合活动课程	上册	幼儿	少年儿童出版社	08版	2	2	0	0	22
中班	中班上册幼儿读物3	幼儿园综合活动课程	上册	幼儿	少年儿童出版社	08版	2	2	0	0	22
中班	中班上册幼儿读物4	幼儿园综合活动课程	上册	幼儿	少年儿童出版社	08版	2	2	0	0	22
中班	中班上册幼儿读物5	幼儿园综合活动课程	上册	幼儿	少年儿童出版社	08版	2	2	0	0	22
中班	中班上册幼儿操作材料1	幼儿园综合活动课程	上册	幼儿	少年儿童出版社	08版	2	4	0	0	22
中班	中班上册幼儿操作材料2	幼儿园综合活动课程	上册	幼儿	少年儿童出版社	08版	2	4	0	0	22
中班	中班上册幼儿操作材料3	幼儿园综合活动课程	上册	幼儿	少年儿童出版社	08版	2	4	0	0	22
中班	中班上册幼儿操作材料4	幼儿园综合活动课程	上册	幼儿	少年儿童出版社	08版	2	4	0	0	22
中班	中班上册幼儿操作材料5	幼儿园综合活动课程	上册	幼儿	少年儿童出版社	08版	2	4	0	0	22
中班	幼儿中班下册读物6	幼儿园综合活动课程	下册	幼儿	少年儿童出版社	08版	2	2	0	0	22
中班	幼儿中班下册读物7	幼儿园综合活动课程	下册	幼儿	少年儿童出版社	08版	2	2	0	0	22
中班	幼儿中班下册读物8	幼儿园综合活动课程	下册	幼儿	少年儿童出版社	08版	2	2	0	0	22
中班	幼儿中班下册读物9	幼儿园综合活动课程	下册	幼儿	少年儿童出版社	08版	2	2	0	0	22
中班	幼儿小班下册读物6	幼儿园综合活动课程	下册	幼儿	少年儿童出版社	08版	2	2	0	0	22
中班	幼儿中班下册操作9(2014)	幼儿园综合活动课程	下册	幼儿	少年儿童出版社	08版	2	4	0	0	22
大班	幼儿画册大班上学期1	幼儿园综合活动课程	上册	幼儿	江苏少年儿童出版社	08版	2	4	978-7-5346-5201-1	8.7	50
大班	幼儿画册大班上学期2	幼儿园综合活动课程	上册	幼儿	江苏少年儿童出版社	08版	2	4	978-7-5346-5201-1	8.7	50
大班	幼儿画册大班下学期1	幼儿园综合活动课程	下册	幼儿	江苏少年儿童出版社	08版	2	4	978-7-5346-5465-7	8.7	50
大班	幼儿画册大班下学期2	幼儿园综合活动课程	下册	幼儿	江苏少年儿童出版社	08版	2	4	978-7-5346-5465-7	8.7	2
大班	幼儿画册大班下学期3	幼儿园综合活动课程	下册	幼儿	江苏少年儿童出版社	08版	2	4	978-7-5346-5464-7	8.7	74
大班	幼儿画册大班上学期3	幼儿园综合活动课程	上册	幼儿	江苏少年儿童出版社	08版	2	4	978-7-5346-5201-1	8.7	74
大班	大班上册幼儿读物1	幼儿园综合活动课程	上册	幼儿	少年儿童出版社	08版	2	2	0	0	22
大班	大班上册幼儿读物2	幼儿园综合活动课程	上册	幼儿	少年儿童出版社	08版	2	2	0	0	22
大班	大班上册幼儿读物3	幼儿园综合活动课程	上册	幼儿	少年儿童出版社	08版	2	2	0	0	22
大班	大班上册幼儿读物4	幼儿园综合活动课程	上册	幼儿	少年儿童出版社	08版	2	2	0	0	22
大班	大班上册幼儿读物5	幼儿园综合活动课程	上册	幼儿	少年儿童出版社	08版	2	2	0	0	22
大班	大班上册幼儿操作材料1	幼儿园综合活动课程	上册	幼儿	少年儿童出版社	08版	2	4	0	0	22
大班	大班上册幼儿操作材料3	幼儿园综合活动课程	上册	幼儿	少年儿童出版社	08版	2	4	0	0	22
大班	大班上册幼儿操作材料4	幼儿园综合活动课程	上册	幼儿	少年儿童出版社	08版	2	4	0	0	22
大班	大班上册幼儿操作材料5	幼儿园综合活动课程	上册	幼儿	少年儿童出版社	08版	2	4	0	0	22
大班	大班上册幼儿操作材料2	幼儿园综合活动课程	上册	幼儿	少年儿童出版社	08版	2	4	0	0	22
大班	大班幼儿英语主题系列教材	英语	全一册	幼儿	江苏少年儿童出版社	08版	2	6	978-7-5619-3597-2/H?13174	28	30
大班	幼儿大班下册操作8	幼儿园综合活动课程	下册	幼儿	少年儿童出版社	08版	2	4	0	0	22
大班	幼儿大班下册操作6	幼儿园综合活动课程	下册	幼儿	少年儿童出版社	08版	2	4	0	0	22
大班	幼儿大班下册操作9	幼儿园综合活动课程	下册	幼儿	少年儿童出版社	08版	2	4	0	0	22
大班	幼儿大班下册读物6（2014）	幼儿园综合活动课程	下册	幼儿	少年儿童出版社	08版	2	2	0	0	22
大班	幼儿大班下册读物7（2014）	幼儿园综合活动课程	下册	幼儿	少年儿童出版社	08版	2	2	0	0	22
大班	幼儿大班下册读物8（2014）	幼儿园综合活动课程	下册	幼儿	少年儿童出版社	08版	2	2	0	0	22
大班	幼儿大班下册读物9（2014）	幼儿园综合活动课程	下册	幼儿	少年儿童出版社	08版	2	2	0	0	22
模块1	高中英语模块1	英语	全一册	高中	译林出版社	08版	2	10	978-7-80657-803-2	6.98	120
模块1	高中英语模块1（2014秋）	英语	全一册	高中	译林出版社	08版	2	10	978-7-80657-803-2	0	122
模块2	高中英语模块2	英语	全一册	高中	译林出版社	08版	2	10	978-7-80657-804-9	6.98	120
模块2	高中英语模块2（2014秋）	英语	全一册	高中	译林出版社	08版	2	10	978-7-80657-804-9	0	122
模块3	高中英语模块3	英语	全一册	高中	译林出版社	08版	2	10	978-7-80657-876-6	7.19	126
模块3	高中英语模块3（2014秋）	英语	全一册	高中	译林出版社	08版	2	10	0	0	126
模块4	高中英语模块4	英语	全一册	高中	译林出版社	08版	2	10	978-7-80657-881-0	7.19	126
模块4	高中英语模块4（2014秋）	英语	全一册	高中	译林出版社	08版	2	10	978-7-80657-881-0	0	126
模块5	高中英语模块5	英语	全一册	高中	译林出版社	08版	2	10	978-7-80657-970-1	7.19	126
模块5	高中英语模块5（2014秋）	英语	全一册	高中	译林出版社	08版	2	10	978-7-80657-970-1	0	126
模块6	高中英语模块6	英语	全一册	高中	译林出版社	08版	2	10	978-7-80657-971-8	8.28	144
模块6	高中英语模块6（2014秋）	英语	全一册	高中	译林出版社	08版	2	10	978-7-80657-971-8	0	142
模块7	高中英语模块7	英语	全一册	高中	译林出版社	08版	2	10	978-7-80657-751-6	8.44	146
模块7	高中英语模块7（2014秋）	英语	全一册	高中	译林出版社	08版	2	10	978-7-80657-751-6	0	144
模块8	高中英语模块8	英语	全一册	高中	译林出版社	08版	2	10	978-7-80657-755-4	0	147
模块8	英语模块8全一册（2014版）	英语	全一册	高中	译林出版社	08版	2	10	978-7-80657-755-4	0	147
模块8	高中英语模块8（2014秋）	英语	全一册	高中	译林出版社	08版	2	10	978-7-80657-755-4	0	146
模块9	高中英语模块9	英语	全一册	高中	译林出版社	08版	2	10	978-7-5447-0072-6	8.44	146
模块9	英语模块9全一册（2014版）	英语	全一册	高中	译林出版社	08版	2	10	978-7-5447-0072-6	0	146
模块9	高中英语模块9（2014秋）	英语	全一册	高中	译林出版社	08版	2	10	978-7-5447-0072-6	0	144
模块10	高中英语模块10	英语	全一册	高中	译林出版社	08版	2	10	978-7-5447-0227-0	8.22	142
模块10	英语模块10全一册（2014版）	英语	全一册	高中	译林出版社	08版	2	10	978-7-5447-0227-0	0	142
模块10	高中英语模块10（2014秋）	英语	全一册	高中	译林出版社	08版	2	10	978-7-5447-0227-0	0	140
模块11	高中英语模块11	英语	全一册	高中	译林出版社	08版	2	10	978-7-5447-0228-7	8	138
模块11	英语模块11全一册（2014版）	英语	全一册	高中	译林出版社	08版	2	10	978-7-5447-0228-7	0	138
模块11	高中英语模块11（2014秋）	英语	全一册	高中	译林出版社	08版	2	10	978-7-5447-0228-7	0	136
选修	语文选修实用阅读	语文	全一册	高中	江苏教育出版社	08版	2	10	978-7-5343-7528-6	3.24	140
选修	语文选修语言规范与创新	语文	全一册	高中	江苏教育出版社	08版	2	10	978-7-5343-6938-4	3.48	152
选修	语文选修现代散文选读	语文	全一册	高中	江苏教育出版社	08版	2	10	978-7-5343-7527-9	3.8	168
选修	语文选修《史记》选读	语文	全一册	高中	江苏教育出版社	08版	2	14	978-7-5343-6969-8	4.12	172
选修	语文选修唐宋八大家散文选读	语文	全一册	高中	江苏教育出版社	08版	2	12	978-7-5343-7532-3	3.29	134
选修	语文选修唐诗宋词选读	语文	全一册	高中	江苏教育出版社	08版	2	16	978-7-5343-6949-0	3.17	124
